,type,source,ticker,openPrice,closePrice,contractCost,contractReturn,netValue,ROI,openDate,closeDate
0,Sell,profit_target,O:MARA230428C00012000,0.8,1.38,80.0,138.0,58.0,0.725,2023-04-17 13:00:00,"13   2023-04-18 10:00:00
Name: date, dtype: datetime64[ns]"
1,Sell,max_loss,O:RIVN230428C00014000,0.49,0.32,49.0,32.0,-17.0,-0.3469387755102041,2023-04-17 14:00:00,"23   2023-04-19 09:30:00
Name: date, dtype: datetime64[ns]"
2,Sell,max_loss,O:NIO230428C00010000,0.32,0.15,32.0,15.0,-17.0,-0.53125,2023-04-17 15:00:00,"29   2023-04-19 09:30:00
Name: date, dtype: datetime64[ns]"
3,Sell,max_loss,O:NIO230428C00010000,0.31,0.15,31.0,15.0,-16.0,-0.5161290322580645,2023-04-18 09:30:00,"25   2023-04-19 09:30:00
Name: date, dtype: datetime64[ns]"
4,Sell,max_loss,O:NIO230428C00010000,0.31,0.15,31.0,15.0,-16.0,-0.5161290322580645,2023-04-18 09:30:00,"25   2023-04-19 09:30:00
Name: date, dtype: datetime64[ns]"
5,Sell,max_loss,O:RIVN230428C00013000,0.93,0.32,93.0,32.0,-61.0,-0.6559139784946236,2023-04-18 09:30:00,"40   2023-04-20 09:30:00
Name: date, dtype: datetime64[ns]"
6,Sell,max_time,O:RBLX230428C00040000,1.6,2.5,160.0,250.0,90.0,0.5625,2023-04-17 14:00:00,2023-04-20 13:00:00
7,Sell,max_time,O:CS230428C00001000,0.02,0.01,2.0,1.0,-1.0,-0.5,2023-04-17 14:00:00,2023-04-20 13:15:00
8,Sell,max_time,O:GOOGL230428C00110000,1.76,1.53,176.0,153.0,-23.0,-0.13068181818181818,2023-04-17 14:00:00,2023-04-20 14:00:00
9,Sell,profit_target,O:RBLX230428C00039000,2.25,2.87,225.0,287.0,62.0,0.27555555555555555,2023-04-17 15:00:00,"19   2023-04-19 12:30:00
Name: date, dtype: datetime64[ns]"
10,Sell,max_time,O:CS230428C00001000,0.02,0.01,2.0,1.0,-1.0,-0.5,2023-04-17 15:15:00,2023-04-20 15:00:00
11,Sell,max_time,O:RBLX230428C00040000,1.66,1.82,166.0,182.0,16.0,0.0963855421686747,2023-04-18 09:30:00,2023-04-20 15:45:00
12,Sell,max_time,O:CS230428C00001000,0.01,0.01,1.0,1.0,0.0,0.0,2023-04-18 09:30:00,2023-04-20 15:15:00
13,Sell,max_time,O:RBLX230428C00040000,1.66,1.82,166.0,182.0,16.0,0.0963855421686747,2023-04-18 09:30:00,2023-04-20 15:45:00
14,Sell,max_time,O:CS230428C00001000,0.01,0.01,1.0,1.0,0.0,0.0,2023-04-18 09:30:00,2023-04-20 15:15:00
15,Sell,max_time,O:RBLX230428C00040000,1.66,1.82,166.0,182.0,16.0,0.0963855421686747,2023-04-18 09:30:00,2023-04-20 15:45:00
16,Sell,max_time,O:CS230428C00001000,0.01,0.01,1.0,1.0,0.0,0.0,2023-04-18 09:30:00,2023-04-20 15:15:00
17,Sell,max_time,O:RBLX230428C00040000,1.66,1.82,166.0,182.0,16.0,0.0963855421686747,2023-04-18 09:30:00,2023-04-20 15:45:00
18,Sell,max_time,O:CS230428C00001000,0.01,0.01,1.0,1.0,0.0,0.0,2023-04-18 09:30:00,2023-04-20 15:15:00
