,Time,Buy,Sell,ActiveHoldings,Cost,Return,TransactionCosts,TransactionCostofInterval,NetValueofInterval,StartValue,EndValue
0,2023-04-17 13:00:00,"['[Buy/Sell: B, Ticker: O:JPM230428C00140000, OpenPrice: 1.48, PositionID: [Symbol: JPM, Strategy: day_gainers, opendatetime: 2023-04-17 13:00]]', '[Buy/Sell: B, Ticker: O:ZIM230428C00022000, OpenPrice: 0.68, PositionID: [Symbol: ZIM, Strategy: day_gainers, opendatetime: 2023-04-17 13:00]]', '[Buy/Sell: B, Ticker: O:C230428C00050000, OpenPrice: 0.52, PositionID: [Symbol: C, Strategy: day_gainers, opendatetime: 2023-04-17 13:00]]', '[Buy/Sell: B, Ticker: O:MARA230428C00012000, OpenPrice: 0.8, PositionID: [Symbol: MARA, Strategy: day_gainers, opendatetime: 2023-04-17 13:00]]']",[],[],"[148.35, 68.35, 52.35, 80.35]",[],"[0.35, 0.35, 0.35, 0.35]",[],0,0,0
1,2023-04-17 13:15:00,[],[],[],[],[],[],[],0,0,0
2,2023-04-17 13:30:00,[],[],[],[],[],[],[],0,0,0
3,2023-04-17 13:45:00,[],[],[],[],[],[],[],0,0,0
4,2023-04-17 14:00:00,"['[Buy/Sell: B, Ticker: O:STNE230428C00012000, OpenPrice: 0.25, PositionID: [Symbol: STNE, Strategy: day_gainers, opendatetime: 2023-04-17 14:00]]', '[Buy/Sell: B, Ticker: O:BTU230428C00030000, OpenPrice: 0.19, PositionID: [Symbol: BTU, Strategy: day_gainers, opendatetime: 2023-04-17 14:00]]', '[Buy/Sell: B, Ticker: O:ENPH230428C00230000, OpenPrice: 10.62, PositionID: [Symbol: ENPH, Strategy: day_gainers, opendatetime: 2023-04-17 14:00]]', '[Buy/Sell: B, Ticker: O:RIVN230428C00014000, OpenPrice: 0.49, PositionID: [Symbol: RIVN, Strategy: day_gainers, opendatetime: 2023-04-17 14:00]]']",[],[],"[25.35, 19.35, 1062.35, 49.35]",[],"[0.35, 0.35, 0.35, 0.35]",[],0,0,0
5,2023-04-17 14:15:00,"['[Buy/Sell: B, Ticker: O:XPEV230428C00011000, OpenPrice: 0.69, PositionID: [Symbol: XPEV, Strategy: day_gainers, opendatetime: 2023-04-17 14:15]]', '[Buy/Sell: B, Ticker: O:RUN230428C00020000, OpenPrice: 1.16, PositionID: [Symbol: RUN, Strategy: day_gainers, opendatetime: 2023-04-17 14:15]]']",[],[],"[69.35, 116.35]",[],"[0.35, 0.35]",[],0,0,0
6,2023-04-17 14:30:00,[],[],[],[],[],[],[],0,0,0
7,2023-04-17 14:45:00,"['[Buy/Sell: B, Ticker: O:LI230428C00030000, OpenPrice: 0.09, PositionID: [Symbol: LI, Strategy: day_gainers, opendatetime: 2023-04-17 14:45]]']","['[Buy/Sell: S, Ticker: O:LI230428C00030000, OpenPrice: 0.09, PositionID: [Symbol: LI, Strategy: day_gainers, opendatetime: 2023-04-17 14:45]]']",[],[9.35],[9.35],"[0.35, 0.35]",[],0,0,0
8,2023-04-17 15:00:00,"['[Buy/Sell: B, Ticker: O:XPEV230428C00011000, OpenPrice: 0.69, PositionID: [Symbol: XPEV, Strategy: day_gainers, opendatetime: 2023-04-17 15:00]]', '[Buy/Sell: B, Ticker: O:ENPH230428C00230000, OpenPrice: 11.45, PositionID: [Symbol: ENPH, Strategy: day_gainers, opendatetime: 2023-04-17 15:00]]', '[Buy/Sell: B, Ticker: O:NIO230428C00010000, OpenPrice: 0.32, PositionID: [Symbol: NIO, Strategy: day_gainers, opendatetime: 2023-04-17 15:00]]', '[Buy/Sell: B, Ticker: O:RUN230428C00021000, OpenPrice: 0.85, PositionID: [Symbol: RUN, Strategy: day_gainers, opendatetime: 2023-04-17 15:00]]', '[Buy/Sell: B, Ticker: O:FSLR230428C00220000, OpenPrice: 9.05, PositionID: [Symbol: FSLR, Strategy: day_gainers, opendatetime: 2023-04-17 15:00]]']",[],[],"[69.35, 1145.35, 32.35, 85.35, 905.35]",[],"[0.35, 0.35, 0.35, 0.35, 0.35]",[],0,0,0
9,2023-04-17 15:15:00,"['[Buy/Sell: B, Ticker: O:SPWR230428C00015000, OpenPrice: 0.48, PositionID: [Symbol: SPWR, Strategy: day_gainers, opendatetime: 2023-04-17 15:15]]', '[Buy/Sell: B, Ticker: O:CRSP230428C00054000, OpenPrice: 2.65, PositionID: [Symbol: CRSP, Strategy: day_gainers, opendatetime: 2023-04-17 15:15]]', '[Buy/Sell: B, Ticker: O:SPWR230428C00015000, OpenPrice: 0.48, PositionID: [Symbol: SPWR, Strategy: day_gainers, opendatetime: 2023-04-17 15:15]]']",[],[],"[48.35, 265.35, 48.35]",[],"[0.35, 0.35, 0.35]",[],0,0,0
