,type,strategy,source,ticker,openPrice,closePrice,contractCost,commissionRate,transactionCost,contractReturn,netValue,ROI,openDate,closeDate,uniqueopenstr,uniqueclosestr
0,BUY/SELL,day_gainers,max_time,O:JPM230428C00140000,1.48,1.49,148.35,0.35,0.7,149.35,1.0,0.006740815638692282,2023-04-17 13:00:00,2023-04-20 13:00:00,"[Buy/Sell: B, Ticker: O:JPM230428C00140000, OpenPrice: 1.48, PositionID: [Symbol: JPM, Strategy: day_gainers, opendatetime: 2023-04-17 13:00]]","[Buy/Sell: S, Ticker: O:JPM230428C00140000, OpenPrice: 1.49, PositionID: [Symbol: JPM, Strategy: day_gainers, opendatetime: 2023-04-17 13:00]]"
1,BUY/SELL,day_gainers,max_time,O:ZIM230428C00022000,0.68,0.21,68.35,0.35,0.7,21.35,-46.99999999999999,-0.6876371616678858,2023-04-17 13:00:00,2023-04-20 12:45:00,"[Buy/Sell: B, Ticker: O:ZIM230428C00022000, OpenPrice: 0.68, PositionID: [Symbol: ZIM, Strategy: day_gainers, opendatetime: 2023-04-17 13:00]]","[Buy/Sell: S, Ticker: O:ZIM230428C00022000, OpenPrice: 0.21, PositionID: [Symbol: ZIM, Strategy: day_gainers, opendatetime: 2023-04-17 13:00]]"
2,BUY/SELL,day_gainers,max_time,O:C230428C00050000,0.52,0.37,52.35,0.35,0.7,37.35,-15.0,-0.28653295128939826,2023-04-17 13:00:00,2023-04-20 13:00:00,"[Buy/Sell: B, Ticker: O:C230428C00050000, OpenPrice: 0.52, PositionID: [Symbol: C, Strategy: day_gainers, opendatetime: 2023-04-17 13:00]]","[Buy/Sell: S, Ticker: O:C230428C00050000, OpenPrice: 0.37, PositionID: [Symbol: C, Strategy: day_gainers, opendatetime: 2023-04-17 13:00]]"
3,BUY/SELL,day_gainers,max_loss,O:STNE230428C00012000,0.25,0.05,25.35,0.35,0.7,5.35,-20.0,-0.7889546351084812,2023-04-17 14:00:00,2023-04-19 10:45:00,"[Buy/Sell: B, Ticker: O:STNE230428C00012000, OpenPrice: 0.25, PositionID: [Symbol: STNE, Strategy: day_gainers, opendatetime: 2023-04-17 14:00]]","[Buy/Sell: S, Ticker: O:STNE230428C00012000, OpenPrice: 0.05, PositionID: [Symbol: STNE, Strategy: day_gainers, opendatetime: 2023-04-17 14:00]]"
4,BUY/SELL,day_gainers,profit_target,O:MARA230428C00012000,0.8,1.38,80.35,0.35,0.7,138.35,58.0,0.7218419415059116,2023-04-17 13:00:00,2023-04-18 10:00:00,"[Buy/Sell: B, Ticker: O:MARA230428C00012000, OpenPrice: 0.8, PositionID: [Symbol: MARA, Strategy: day_gainers, opendatetime: 2023-04-17 13:00]]","[Buy/Sell: S, Ticker: O:MARA230428C00012000, OpenPrice: 1.38, PositionID: [Symbol: MARA, Strategy: day_gainers, opendatetime: 2023-04-17 13:00]]"
5,BUY/SELL,day_gainers,max_loss,O:XPEV230428C00011000,0.69,0.28,69.35,0.35,0.7,28.35,-40.99999999999999,-0.5912040374909877,2023-04-17 14:15:00,2023-04-19 09:30:00,"[Buy/Sell: B, Ticker: O:XPEV230428C00011000, OpenPrice: 0.69, PositionID: [Symbol: XPEV, Strategy: day_gainers, opendatetime: 2023-04-17 14:15]]","[Buy/Sell: S, Ticker: O:XPEV230428C00011000, OpenPrice: 0.28, PositionID: [Symbol: XPEV, Strategy: day_gainers, opendatetime: 2023-04-17 14:15]]"
6,BUY/SELL,day_gainers,max_loss,O:BTU230428C00030000,0.19,0.17,19.35,0.35,0.7,17.35,-2.0,-0.10335917312661498,2023-04-17 14:00:00,2023-04-18 10:45:00,"[Buy/Sell: B, Ticker: O:BTU230428C00030000, OpenPrice: 0.19, PositionID: [Symbol: BTU, Strategy: day_gainers, opendatetime: 2023-04-17 14:00]]","[Buy/Sell: S, Ticker: O:BTU230428C00030000, OpenPrice: 0.17, PositionID: [Symbol: BTU, Strategy: day_gainers, opendatetime: 2023-04-17 14:00]]"
7,BUY/SELL,day_gainers,max_time,O:TECK230428C00049000,1.49,0.8,149.35,0.35,0.7,80.35,-69.0,-0.4620020087043857,2023-04-18 09:30:00,2023-04-20 12:30:00,"[Buy/Sell: B, Ticker: O:TECK230428C00049000, OpenPrice: 1.49, PositionID: [Symbol: TECK, Strategy: day_gainers, opendatetime: 2023-04-18 09:30]]","[Buy/Sell: S, Ticker: O:TECK230428C00049000, OpenPrice: 0.8, PositionID: [Symbol: TECK, Strategy: day_gainers, opendatetime: 2023-04-18 09:30]]"
8,BUY/SELL,day_gainers,max_loss,O:IQ230428C00007000,0.43,0.21,43.35,0.35,0.7,21.35,-22.0,-0.5074971164936563,2023-04-18 09:30:00,2023-04-19 09:30:00,"[Buy/Sell: B, Ticker: O:IQ230428C00007000, OpenPrice: 0.43, PositionID: [Symbol: IQ, Strategy: day_gainers, opendatetime: 2023-04-18 09:30]]","[Buy/Sell: S, Ticker: O:IQ230428C00007000, OpenPrice: 0.21, PositionID: [Symbol: IQ, Strategy: day_gainers, opendatetime: 2023-04-18 09:30]]"
9,BUY/SELL,day_gainers,max_time,O:ENPH230428C00230000,10.62,9.78,1062.35,0.35,0.7,978.35,-83.99999999999989,-0.07906998635101416,2023-04-17 14:00:00,2023-04-20 14:00:00,"[Buy/Sell: B, Ticker: O:ENPH230428C00230000, OpenPrice: 10.62, PositionID: [Symbol: ENPH, Strategy: day_gainers, opendatetime: 2023-04-17 14:00]]","[Buy/Sell: S, Ticker: O:ENPH230428C00230000, OpenPrice: 9.78, PositionID: [Symbol: ENPH, Strategy: day_gainers, opendatetime: 2023-04-17 14:00]]"
