,last_fill_price_close,close_creation_date,qty_executed_close,last_fill_price_open,qty_executed_open,order_transaction_date,env,position_id,order_creation_date,average_fill_price_close,closing_order_id,close_transaction_date,order_id,option_symbol,underlying_symbol,average_fill_price_open,execution_strategy,close_reason,spread_position,average_fill_price_close_float,average_fill_price_open_float,pnlcoefficient,winloss
0,0.31,2024-03-18T14:07:00.228Z,2.0,0.13,2.0,2024-03-18T14:07:00.374Z,PROD_VAL,C-CDBFC1D-2024-03-18T14-06,2024-03-18T14:07:00.228Z,0.31,10846855,2024-03-19T13:50:40.453Z,10829666,C240322C00060000,C,0.13,None,"Hit exit target, sell.",,0.31,0.13,0.18,W
1,0.01,2024-03-19T18:06:31.533Z,1.0,0.02,1.0,2024-03-19T18:06:31.564Z,PROD_VAL,BAC-CDBFC1D-2024-03-19T18-06,2024-03-19T18:06:31.533Z,0.01,10866346,2024-03-20T13:50:59.765Z,10854459,BAC240322C00038000,BAC,0.02,None,"Failed momentum gate, sell.",,0.01,0.02,-0.01,L
2,0.01,2024-03-19T16:06:36.962Z,1.0,0.03,1.0,2024-03-19T16:06:37.130Z,PROD_VAL,CVX-CDBFC1D-2024-03-19T16-06,2024-03-19T16:06:36.962Z,0.01,10866220,2024-03-20T13:50:36.799Z,10851392,CVX240322C00165000,CVX,0.03,None,"Hit point of no confidence, sell.",,0.01,0.03,-0.019999999999999997,L
3,0.21,2024-03-19T17:06:43.586Z,1.0,0.22,1.0,2024-03-19T17:06:43.608Z,PROD_VAL,PLTR-CDBFC1D-2024-03-19T17-06,2024-03-19T17:06:43.586Z,0.21,10866241,2024-03-20T13:50:40.974Z,10853236,PLTR240322C00024500,PLTR,0.22,None,"Failed momentum gate, sell.",,0.21,0.22,-0.010000000000000009,L
4,0.12,2024-03-18T18:06:27.510Z,1.0,0.31,1.0,2024-03-18T18:06:27.535Z,PROD_VAL,UBER-CDBFC1D-2024-03-18T18-06,2024-03-18T18:06:27.510Z,0.12,10846875,2024-03-19T13:50:45.210Z,10836841,UBER240322C00079000,UBER,0.31,None,"Hit point of no confidence, sell.",,0.12,0.31,-0.19,L
5,0.04,2024-03-18T17:07:13.350Z,1.0,0.09,1.0,2024-03-18T17:07:13.365Z,PROD_VAL,AAPL-CDBFC1D-2024-03-18T17-07,2024-03-18T17:07:13.350Z,0.04,10846947,2024-03-19T13:50:55.024Z,10835522,AAPL240322C00185000,AAPL,0.09,None,"Hit point of no confidence, sell.",,0.04,0.09,-0.049999999999999996,L
6,0.05,2024-03-18T19:06:10.015Z,1.0,0.11,1.0,2024-03-18T19:06:10.039Z,PROD_VAL,PYPL-CDBFC1D-2024-03-18T19-06,2024-03-18T19:06:10.015Z,0.05,10846796,2024-03-19T13:50:32.306Z,10838605,PYPL240322C00069000,PYPL,0.11,None,"Hit point of no confidence, sell.",,0.05,0.11,-0.06,L
7,0.33,2024-03-18T16:06:13.797Z,1.0,0.32,1.0,2024-03-18T16:06:13.821Z,PROD_VAL,UBER-CDBFC1D-2024-03-18T16-06,2024-03-18T16:06:13.797Z,0.33,10846974,2024-03-19T13:50:58.572Z,10833360,UBER240322C00078000,UBER,0.32,None,"Failed momentum gate, sell.",,0.33,0.32,0.010000000000000009,W
8,0.13,2024-03-19T16:06:38.162Z,1.0,0.25,1.0,2024-03-19T16:06:38.194Z,PROD_VAL,C-CDBFC1D-2024-03-19T16-06,2024-03-19T16:06:38.162Z,0.13,10866267,2024-03-20T13:50:45.644Z,10851397,C240322C00060000,C,0.25,None,"Failed momentum gate, sell.",,0.13,0.25,-0.12,L
9,0.15,2024-03-19T14:06:36.715Z,1.0,0.31,1.0,2024-03-19T14:06:36.854Z,PROD_VAL,XOM-CDBFC1D-2024-03-19T14-06,2024-03-19T14:06:36.715Z,0.15,10866179,2024-03-20T13:50:30.876Z,10847797,XOM240322C00115000,XOM,0.31,None,"Failed momentum gate, sell.",,0.15,0.31,-0.16,L
